  PID  PPID  %CPU    RSS COMM
  903     1   0.1  24160 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  938     1   0.0    992 /usr/libexec/rosetta/oahd
 1012     1   0.0   2016 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
 1015     1   0.0   1456 /usr/sbin/distnoted
 1016     1   0.0   1520 /usr/sbin/distnoted
 1017     1   0.3   3680 /usr/sbin/distnoted
 1023     1   0.0   3344 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1031     1   0.0   1216 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1039     1   0.0   1488 /usr/sbin/distnoted
 1040     1   0.0   4208 /usr/sbin/cfprefsd
 1041     1   0.0   3936 /usr/libexec/UserEventAgent
 1048     1   0.0   4544 /usr/sbin/universalaccessd
 1051     1   0.0   2784 /usr/libexec/pboard
 1055     1   0.0   7792 /usr/libexec/lsd
 1061     1   0.0   4128 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 1062     1   0.0   6704 /usr/libexec/nsurlsessiond
 1063     1   0.0   8112 /usr/sbin/usernoted
 1064     1   0.0   6080 /usr/libexec/rapportd
 1067     1   0.0   2912 /System/Library/CoreServices/lockoutagent
 1071     1   0.0   4416 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1074     1   0.0    976 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1081     1   0.0   9168 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1086     1   0.0   5600 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1104     1   0.0  19392 /usr/libexec/sharingd
 1112     1   0.0   6976 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1122     1   0.0   7456 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 1126     1   0.0   6592 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1133     1   0.0   3024 /usr/sbin/filecoordinationd
 1144     1   0.0   2080 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
 1145     1   0.0   7680 /System/Library/CoreServices/sharedfilelistd
 1153     1   0.0   2048 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1154     1   0.0   3312 /usr/libexec/ContinuityCaptureAgent
 1163     1   0.0   5120 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
 1164     1   0.0   3808 /usr/libexec/nearbyd
 1166     1   0.0   1488 /usr/sbin/distnoted
 1184     1   0.0   1456 /usr/sbin/distnoted
 1294     1   0.0   1456 /usr/sbin/distnoted
 1301     1   0.0  24960 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1305     1   0.0   1456 /usr/sbin/distnoted
 1308     1   0.0  15584 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
 1321     1   0.0   8496 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 1322     1   0.0   8048 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1323     1   0.0   1504 /usr/sbin/distnoted
 1327     1   0.0  11984 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
 1331     1   0.0   3504 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1336     1   0.0   3152 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1462     1   0.0   5184 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1480     1   0.0   4080 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
 1491     1   0.0   3440 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 1500     1   0.0   2192 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
 1503     1   0.0   3696 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
 1504     1   0.0   4864 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension
 1506     1   0.0   1936 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension
 1509     1   0.0   1888 /System/Library/CoreServices/WindowManager.app/Contents/PlugIns/WindowManagerControlsExtension.appex/Contents/MacOS/WindowManagerControlsExtension
 1515     1   0.0   1648 /System/Library/CoreServices/Dock.app/Contents/PlugIns/DockControls.appex/Contents/MacOS/DockControls
 1516     1   0.0   3360 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1517     1   0.0   1568 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1518     1   0.0   2576 /usr/libexec/avconferenced
 1520     1   0.0   4496 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1527     1   0.0   4768 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
