  PID  PPID  %CPU    RSS COMM
  707     1   0.0   1568 /usr/sbin/distnoted
  709     1   0.0   1504 /usr/sbin/distnoted
  715     1   0.8  40912 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  716     1   0.0   1408 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  717     1   0.0   1216 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  733   527   0.0   5952 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
  737     1   0.0   8096 /usr/libexec/searchpartyd
  738   527   0.0  13728 docker
  740     1   0.0   9216 /usr/libexec/wifip2pd
  749     1   0.0   1504 /usr/sbin/distnoted
  753   538   0.0   2240 /usr/sbin/systemstats
  759     1   0.0   4496 /System/Library/CoreServices/appleeventsd
  767   738   0.0   9408 /Users/adriangonzalez/.docker/cli-plugins/docker-mcp
  773     1   0.0   1504 /usr/sbin/distnoted
  801     1   0.0   4160 /Library/PrivilegedHelperTools/com.docker.vmnetd
  815     1   0.0   2608 /usr/libexec/cameracaptured
  816     1   0.0   2864 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  903     1   0.2  31056 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  938     1   0.0    992 /usr/libexec/rosetta/oahd
 1012     1   0.0   2000 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
 1015     1   0.0   1504 /usr/sbin/distnoted
 1016     1   0.0   1568 /usr/sbin/distnoted
 1017     1   0.0   4208 /usr/sbin/distnoted
 1023     1   0.0   4928 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1031     1   0.0   1216 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1039     1   0.0   1536 /usr/sbin/distnoted
 1040     1   0.0   5008 /usr/sbin/cfprefsd
 1041     1   0.0   7232 /usr/libexec/UserEventAgent
 1048     1   0.0   7744 /usr/sbin/universalaccessd
 1051     1   0.0   4992 /usr/libexec/pboard
 1055     1   0.0   8976 /usr/libexec/lsd
 1061     1   0.0   6336 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 1062     1   0.0  10624 /usr/libexec/nsurlsessiond
 1063     1   0.0  12896 /usr/sbin/usernoted
 1064     1   0.0   9776 /usr/libexec/rapportd
 1067     1   0.0   3952 /System/Library/CoreServices/lockoutagent
