  PID  PPID  %CPU    RSS COMM
  612     1   1.9  17680 /usr/sbin/coreaudiod
  618     1   0.0   2144 /usr/libexec/apfsd
  621     1   0.0   9536 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  631     1   0.0  10288 /usr/libexec/lsd
  632     1   0.0   7168 /usr/libexec/ApplicationFirewall/socketfilterfw
  635     1   1.0  14896 /usr/libexec/airportd
  636     1   0.5   8768 /usr/libexec/symptomsd
  643     1   0.7  11328 /usr/sbin/mDNSResponder
  644     1   0.0   1520 /usr/sbin/distnoted
  646     1   0.0   4288 /usr/libexec/eligibilityd
  648     1   0.0   6704 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
  649     1   0.0   4320 Core Audio Driver (ParrotAudioPlugin.driver)
  654     1   0.0   7440 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  658     1   0.0   6480 /usr/libexec/audiomxd
  663     1   0.0   1568 /usr/sbin/distnoted
  669     1   0.0   1520 /usr/sbin/distnoted
  670     1   0.0   2144 /usr/sbin/mDNSResponderHelper
  674     1   0.2  12064 /usr/libexec/syspolicyd
  677     1   0.0   2304 /usr/libexec/audioclocksyncd
  684     1   0.0   1488 /usr/sbin/distnoted
  693     1   0.0   6016 /usr/libexec/modelmanagerd
  695     1   0.0   3200 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  696     1   0.0   3536 /usr/sbin/appleh13camerad
  703     1   0.0   2656 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  707     1   0.0   1552 /usr/sbin/distnoted
  709     1   0.0   1488 /usr/sbin/distnoted
  715     1   2.3  40368 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  716     1   0.0   2368 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  717     1   0.0   1216 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  733   527   0.0   5968 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
  737     1   0.0   8192 /usr/libexec/searchpartyd
  738   527   0.0  13728 docker
  740     1   0.0   7408 /usr/libexec/wifip2pd
  749     1   0.0   1488 /usr/sbin/distnoted
  753   538   0.0   3136 /usr/sbin/systemstats
  759     1   0.0   3024 /System/Library/CoreServices/appleeventsd
  767   738   0.0   9200 /Users/adriangonzalez/.docker/cli-plugins/docker-mcp
  773     1   0.0   1488 /usr/sbin/distnoted
  801     1   0.0   4160 /Library/PrivilegedHelperTools/com.docker.vmnetd
  815     1   0.0   2656 /usr/libexec/cameracaptured
  816     1   0.0   2928 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  903     1   0.0  35872 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  938     1   0.0    992 /usr/libexec/rosetta/oahd
 1012     1   0.0   2016 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
 1015     1   0.0   1504 /usr/sbin/distnoted
 1016     1   0.0   1568 /usr/sbin/distnoted
 1017     1   0.0   4048 /usr/sbin/distnoted
 1023     1   0.0   3824 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1031     1   0.0   1216 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1039     1   0.0   1520 /usr/sbin/distnoted
 1040     1   0.2   5600 /usr/sbin/cfprefsd
 1041     1   0.1   7584 /usr/libexec/UserEventAgent
 1048     1   0.0   5856 /usr/sbin/universalaccessd
 1051     1   0.0   3280 /usr/libexec/pboard
 1055     1   0.0   8368 /usr/libexec/lsd
 1061     1   0.0   3984 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 1062     1   0.0  10048 /usr/libexec/nsurlsessiond
 1063     1   0.0  17952 /usr/sbin/usernoted
 1064     1   0.0  12528 /usr/libexec/rapportd
 1067     1   0.0   2880 /System/Library/CoreServices/lockoutagent
 1071     1   0.0   9360 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1074     1   0.0    976 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1081     1   0.0  18384 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1086     1   0.0   9568 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1104     1   0.0  25120 /usr/libexec/sharingd
 1112     1   0.0  11088 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1122     1   0.0   7360 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 1126     1   0.0  10992 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1133     1   0.0   5024 /usr/sbin/filecoordinationd
 1144     1   0.0   3904 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
 1145     1   0.0   7184 /System/Library/CoreServices/sharedfilelistd
 1153     1   0.0   2064 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1154     1   0.0   5200 /usr/libexec/ContinuityCaptureAgent
 1163     1   0.0   7600 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
 1164     1   0.0   3904 /usr/libexec/nearbyd
 1166     1   0.0   1520 /usr/sbin/distnoted
 1184     1   0.0   1488 /usr/sbin/distnoted
 1294     1   0.0   1488 /usr/sbin/distnoted
 1301     1   0.0  43440 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1305     1   0.0   1488 /usr/sbin/distnoted
