no verdict: benchmark host is noisy
  backend.kitty.shared_frame_3840x2160.publish.p95 (47.31%)
  backend.kitty.shared_frame_3840x2160.publish.p99 (60.64%)
  backend.kitty.shared_frame_3840x2160.ingest.p50 (10.61%)
  backend.kitty.shared_frame_3840x2160.ingest.p95 (20.54%)
  backend.kitty.shared_frame_3840x2160.ingest.p99 (18.17%)
  backend.kitty.shared_frame_3840x2160.freeze.p50 (27.49%)
  backend.kitty.shared_frame_3840x2160.freeze.p95 (33.24%)
  backend.kitty.shared_frame_3840x2160.freeze.p99 (29.61%)
  frontend.kitty.transmit_rgba_64x64.p50 (20.30%)
  frontend.kitty.transmit_rgba_64x64.p95 (39.66%)
  frontend.kitty.transmit_rgba_64x64.p99 (41.27%)
  frontend.kitty.idle.p95 (16.67%)
  frontend.kitty.idle.p99 (33.33%)
  frontend.kitty.transmit_rgba_480x360.p50 (24.74%)
  frontend.kitty.transmit_rgba_480x360.p95 (21.28%)
  frontend.kitty.transmit_rgba_480x360.p99 (22.86%)
  frontend.kitty.transmit_rgba_480x360_zlib.p50 (21.85%)
  frontend.kitty.transmit_rgba_480x360_zlib.p95 (39.37%)
  frontend.kitty.transmit_rgba_480x360_zlib.p99 (43.68%)
  frontend.text.rasterize_jetbrains_mono.p99 (10.86%)
